year,team,alpha3,country,colour1_code,col1,col2,colour2_code
2008,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
2004,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
2000,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
1996,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
1984,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
2016,Romania,ROU,Romania,"blue,yellow,red",blue,yellow,NA
2008,Romania,ROU,Romania,"blue,yellow,red",blue,yellow,NA
2000,Romania,ROU,Romania,"blue,yellow,red",blue,yellow,NA
1996,Romania,ROU,Romania,"blue,yellow,red",blue,yellow,NA
1984,Romania,ROU,Romania,"blue,yellow,red",blue,yellow,NA
2016,Russia,RUS,Russia,"white,blue,red",white,blue,#63B76C
2012,Russia,RUS,Russia,"white,blue,red",white,blue,#63B76C
2008,Russia,RUS,Russia,"white,blue,red",white,blue,#63B76C
2004,Russia,RUS,Russia,"white,blue,red",white,blue,#63B76C
1996,Russia,RUS,Russia,"white,blue,red",white,blue,#63B76C
1996,Scotland,GB-SCT,Scotland,"blue,white",blue,white,NA
1992,Scotland,GB-SCT,Scotland,"blue,white",blue,white,NA
2016,Slovakia,SVK,Slovakia,"white,darkblue,red",white,darkblue,NA
2000,Slovenia,SVN,Slovenia,"white,blue,red",white,blue,"#79A12E,#76D7EA,white"
2016,Spain,ESP,Spain,"red,gold",red,gold,NA
2012,Spain,ESP,Spain,"red,gold",red,gold,NA
2008,Spain,ESP,Spain,"red,gold",red,gold,NA
2004,Spain,ESP,Spain,"red,gold",red,gold,NA
2000,Spain,ESP,Spain,"red,gold",red,gold,NA
1996,Spain,ESP,Spain,"red,gold",red,gold,NA
1988,Spain,ESP,Spain,"red,gold",red,gold,NA
1984,Spain,ESP,Spain,"red,gold",red,gold,NA
1980,Spain,ESP,Spain,"red,gold",red,gold,NA
1964,Spain,ESP,Spain,"red,gold",red,gold,NA
2016,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
2012,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
2008,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
2004,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
2000,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
1992,Sweden,SWE,Sweden,"#004B87,#FFD300",,004B87,NA
2016,Switzerland,CHE,Switzerland,"red,white",red,white,NA
2008,Switzerland,CHE,Switzerland,"red,white",red,white,NA
2004,Switzerland,CHE,Switzerland,"red,white",red,white,NA
1996,Switzerland,CHE,Switzerland,"red,white",red,white,NA
2016,Turkey,TUR,Turkey,"red,white",red,white,turquoise
2008,Turkey,TUR,Turkey,"red,white",red,white,turquoise
2000,Turkey,TUR,Turkey,"red,white",red,white,turquoise
1996,Turkey,TUR,Turkey,"red,white",red,white,turquoise
2016,Ukraine,UKR,Ukraine,"#0057b7,#ffd700",,0057b7,NA
2012,Ukraine,UKR,Ukraine,"#0057b7,#ffd700",,0057b7,NA
1988,USSR,SUN,Soviet Union,red,red,NA,gold
1972,USSR,SUN,Soviet Union,red,red,NA,gold
1968,USSR,SUN,Soviet Union,red,red,NA,gold
1964,USSR,SUN,Soviet Union,red,red,NA,gold
1960,USSR,SUN,Soviet Union,red,red,NA,gold
2016,Wales,GB-WLS,Wales,"red,green,white",red,green,NA
2000,Yugoslavia,YUG,Yugoslavia,"blue,white,red",blue,white,NA
1984,Yugoslavia,YUG,Yugoslavia,"blue,white,red",blue,white,NA
1976,Yugoslavia,YUG,Yugoslavia,"blue,white,red",blue,white,NA
1968,Yugoslavia,YUG,Yugoslavia,"blue,white,red",blue,white,NA
1960,Yugoslavia,YUG,Yugoslavia,"blue,white,red",blue,white,NA
