url_club,country,year,club_comp,matches,league_alpha3,league
https://www.worldfootball.net/teams/liverpool-fc/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,2008,Premier League 2007/2008,38,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/cf-montreal/,Canada,2016,Major League Soccer 2016,34,CAN,Canada
https://www.worldfootball.net/teams/manchester-city/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,1980,Premier League 1979/1980,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,1992,Premier League 1991/1992,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,2008,Premier League 2007/2008,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-city/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/kv-oostende/,Belgium,2016,Eerste klasse A 2015/2016,30,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,1972,Eerste klasse A 1971/1972,30,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,1980,Eerste klasse A 1979/1980,34,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,1984,Eerste klasse A 1983/1984,34,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,1996,Eerste klasse A 1995/1996,34,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,2000,Eerste klasse A 1999/2000,34,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,2004,Eerste klasse A 2003/2004,34,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,2012,Eerste klasse A 2011/2012,30,BEL,Belgium
https://www.worldfootball.net/teams/club-brugge-kv/,Belgium,2016,Eerste klasse A 2015/2016,30,BEL,Belgium
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1964,Primera División 1963/1964,30,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1976,Primera División 1975/1976,34,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1980,Primera División 1979/1980,34,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1984,Primera División 1983/1984,34,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1988,Primera División 1987/1988,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1992,Primera División 1991/1992,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,1996,Primera División 1995/1996,42,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,2000,Primera División 1999/2000,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,2004,Primera División 2003/2004,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,2008,Primera División 2007/2008,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,2012,Primera División 2011/2012,38,ESP,Spain
https://www.worldfootball.net/teams/fc-barcelona/,Spain,2016,Primera División 2015/2016,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,1964,Primera División 1963/1964,30,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,1988,Primera División 1987/1988,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,1996,Primera División 1995/1996,42,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,2000,Primera División 1999/2000,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,2004,Primera División 2003/2004,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,2008,Primera División 2007/2008,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,2012,Primera División 2011/2012,38,ESP,Spain
https://www.worldfootball.net/teams/atletico-madrid/,Spain,2016,Primera División 2015/2016,38,ESP,Spain
https://www.worldfootball.net/teams/manchester-united/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,1980,Premier League 1979/1980,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,1988,Premier League 1987/1988,40,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,1992,Premier League 1991/1992,42,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,1996,Premier League 1995/1996,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,2000,Premier League 1999/2000,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,2008,Premier League 2007/2008,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/manchester-united/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/as-roma/,Italy,1980,Serie A 1979/1980,30,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,1988,Serie A 1987/1988,30,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,1992,Serie A 1991/1992,34,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,1996,Serie A 1995/1996,34,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,2000,Serie A 1999/2000,34,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,2004,Serie A 2003/2004,34,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,2008,Serie A 2007/2008,38,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,2012,Serie A 2011/2012,38,ITA,Italy
https://www.worldfootball.net/teams/as-roma/,Italy,2016,Serie A 2015/2016,38,ITA,Italy
https://www.worldfootball.net/teams/zenit-st-petersburg/,Russia,1988,Vysshaya Liga 1988,30,SUN,USSR
https://www.worldfootball.net/teams/zenit-st-petersburg/,Russia,2004,Premier Liga 2004,30,RUS,Russia
https://www.worldfootball.net/teams/zenit-st-petersburg/,Russia,2008,Premier Liga 2008,30,RUS,Russia
https://www.worldfootball.net/teams/zenit-st-petersburg/,Russia,2012,Premier Liga 2011/2012,14,RUS,Russia
https://www.worldfootball.net/teams/zenit-st-petersburg/,Russia,2016,Premier Liga 2015/2016,30,RUS,Russia
https://www.worldfootball.net/teams/olympique-marseille/,France,1992,Ligue 1 1991/1992,38,FRA,France
https://www.worldfootball.net/teams/olympique-marseille/,France,2004,Ligue 1 2003/2004,38,FRA,France
https://www.worldfootball.net/teams/olympique-marseille/,France,2008,Ligue 1 2007/2008,38,FRA,France
https://www.worldfootball.net/teams/olympique-marseille/,France,2012,Ligue 1 2011/2012,38,FRA,France
https://www.worldfootball.net/teams/olympique-marseille/,France,2016,Ligue 1 2015/2016,38,FRA,France
https://www.worldfootball.net/teams/everton-fc/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,1988,Premier League 1987/1988,40,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,1992,Premier League 1991/1992,42,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,1996,Premier League 1995/1996,38,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,2000,Premier League 1999/2000,38,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/everton-fc/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/hajduk-split/,Croatia,1960,Prva Liga 1959/1960,22,YUG,Yugoslavia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,1968,Prva Liga 1967/1968,30,YUG,Yugoslavia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,1976,Prva Liga 1975/1976,34,YUG,Yugoslavia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,1984,Prva Liga 1983/1984,34,YUG,Yugoslavia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,1996,1. HNL 1995/1996,22,HRV,Croatia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,2004,1. HNL 2003/2004,22,HRV,Croatia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,2008,1. HNL 2007/2008,33,HRV,Croatia
https://www.worldfootball.net/teams/hajduk-split/,Croatia,2016,1. HNL 2015/2016,36,HRV,Croatia
