url_club,club_league2021,url_club_stadium,club_stadium_coord,club_stadium_lat,club_stadium_lbg
/wiki/Manchester_City_F.C.,Premier League,/wiki/City_of_Manchester_Stadium,53°28′59″N 2°12′1″W,53.48305555555556,-2.200277777777778
/wiki/ACF_Fiorentina,Serie A,/wiki/Stadio_Artemio_Franchi,43°46′50.96″N 11°16′56.13″E,43.78082222222222,11.282258333333335
/wiki/A.S._Varese_1910,NA,/wiki/Stadio_Franco_Ossola,45°50′04″N 8°48′02″E,45.83444444444444,8.800555555555556
/wiki/A.C._Milan,Serie A,/wiki/San_Siro,45°28′41″N 9°07′26″E,45.47805555555556,9.123888888888889
/wiki/Bologna_F.C._1909,Serie A,/wiki/Stadio_Renato_Dall%27Ara,44°29′32.33″N 11°18′34.80″E,44.49231388888889,11.309666666666667
/wiki/Torino_F.C.,Serie A,/wiki/Stadio_Olimpico_Grande_Torino,45°2′30.30″N 7°39′0.05″E,45.04175,7.650013888888889
/wiki/S.S.C._Napoli,Serie A,/wiki/Stadio_Diego_Armando_Maradona,40°49′41″N 14°11′35″E,40.82805555555556,14.193055555555556
/wiki/Cagliari_Calcio,Serie A,/wiki/Sardegna_Arena,39°12′00″N 09°08′15″E,39.2,9.1375
/wiki/PFC_Neftchi,Azerbaijan Premier League,/wiki/Bakcell_Arena,40°24′01″N 49°56′38″E,40.400277777777774,49.943888888888885
/wiki/Dynamo_Kyiv,Ukrainian Premier League,/wiki/Olimpiyskiy_National_Sports_Complex,50°26′00″N 30°31′18″E,50.43333333333333,30.521666666666665
/wiki/FK_Sarajevo,Premier League BH,/wiki/Asim_Ferhatovi%C4%87_Hase_Stadium,43°52′26″N 18°24′31″E,43.87388888888889,18.40861111111111
/wiki/OFK_Belgrade,Serbian League Belgrade,/wiki/Omladinski_stadion,44°48′55.64″N 20°29′38.57″E,44.81545555555555,20.494047222222225
/wiki/FK_%C5%BDeljezni%C4%8Dar_Sarajevo,Premier League BH,/wiki/Stadion_Grbavica,43°50′48″N 18°23′14″E,43.84666666666667,18.38722222222222
